abandon;abandon,abandons,abandoning,abandoned
be;be,am,are,is,being,was,were,been,am not,aren't,isn't,wasn't,weren't
bear;bear,bears,bearing,borne
beat;beat,beats,beating,beaten
become;become,becomes,becoming,became
beg;beg,begs,begging,begged
begin;begin,begins,beginning,began,begun
behave;behave,behaves,behaving,behaved
believe;believe,believes,believing,believed
belong;belong,belongs,belonging,belonged
bend;bend,bends,bending,bent
benefit;benefit,benefits,benefiting,benefited
bet;bet,bets,betting,betted
bid;bid,bids,bidding,bidden
bind;bind,binds,binding,binded
bite;bite,bites,biting,bited,bitten
blame;blame,blames,blaming,blamed
block;block,blocks,blocking,blocked
blow;blow,blows,blowing,blew,blown
boast;boast,boasts,boasting,boasted
boil;boil,boils,boiling,boiled
book;book,books,booking,booked
boost;boost,boosts,boosting,boosted
born;born,borns,borning,borned
borrow;borrow,borrows,borrowing,borrowed
bother;bother,bothers,bothering,bothered
bounce;bounce,bounces,bouncing,bounced
bound;bound,binds,binding
bow;bow,bows,bowing,bowed
break;break,breaks,breaking,broke,broken
breathe;breathe,breathes,breathing,breathed
breed;breed,breeds,breeding,bred
bring;bring,brings,bringing,brought
brush;brush,brushes,brushing,brushed
build;build,builds,building,built
burn;burn,burns,burning,burnt
burst;burst,bursts,bursting
bury;bury,buries,burying,buried
buy;buy,buys,buying,bought
calculate;calculate,calculates,calculating,calculated
call;call,calls,calling,called
calm;calm,calms,calming,calmed
campaign;campaign,campaigns,campaigning,campaigned
can;can,could,can't,couldn't
cancel;cancel,cancels,cancelling,cancelled
capture;capture,captures,capturing,captured
care;care,cares,caring,cared
carry;carry,carries,carrying,carried
carve;carve,carves,carving,carved,carven
cast;cast,casts,casting
catch;catch,catches,catching,caught
cater;cater,caters,catering,catered
cause;cause,causes,causing,caused
cease;cease,ceases,ceasing,ceased
celebrate;celebrate,celebrates,celebrating,celebrated
centre;centre,centres,centring,centred
challenge;challenge,challenges,challenging,challenged
change;change,changes,changing,changed
characterise;characterise,characterises,characterising,characterised
characterize;characterize,characterizes,characterizing,characterized
charge;charge,charges,charging,charged
chase;chase,chases,chasing,chased
chat;chat,chats,chatting,chatted
check;check,checks,checking,checked
cheer;cheer,cheers,cheering,cheered
choose;choose,chooses,choosing,chose,chosen
circulate;circulate,circulates,circulating,circulated
cite;cite,cites,citing,cited
claim;claim,claims,claiming,claimed
clarify;clarify,clarifies,clarifying,clarified
classify;classify,classifies,classifying,classified
clean;clean,cleans,cleaning,cleaned
clear;clear,clears,clearing,cleared
climb;climb,climbs,climbing,climbed
cling;cling,clings,clinging,clung
close;close,closes,closing,closed
clutch;clutch,clutches,clutching,clutched
coincide;coincide,coincides,coinciding,coincided
collapse;collapse,collapses,collapsing,collapsed
collect;collect,collects,collecting,collected
colour;colour,colours,colouring,coloured
combine;combine,combines,combining,combined
come;come,comes,coming,came
command;command,commands,commanding,commanded
commence;commence,commences,commencing,commenced
comment;comment,comments,commenting,commented
commission;commission,commissions,commissioning,commissioned
commit;commit,commits,committing,committed
communicate;communicate,communicates,communicating,communicated
compare;compare,compares,comparing,compared
compel;compel,compels,compelling,compelled
compensate;compensate,compensates,compensating,compensated
compete;compete,competes,competing,competed
compile;compile,compiles,compiling,compiled
complain;complain,complains,complaining,complained
complete;complete,completes,completing,completed
comply;comply,complies,complying,complied
compose;compose,composes,composing,composed
comprise;comprise,comprises,comprising,comprised
conceal;conceal,conceals,concealing,concealed
concede;concede,concedes,conceding,conceded
conceive;conceive,conceives,conceiving,conceived
concentrate;concentrate,concentrates,concentrating,concentrated
concern;concern,concerns,concerning,concerned
conclude;conclude,concludes,concluding,concluded
condemn;condemn,condemns,condemning,condemned
conduct;conduct,conducts,conducting,conducted
confer;confer,confers,conferring,conferred
confess;confess,confesses,confessing,confessed
confine;confine,confines,confining,confined
confirm;confirm,confirms,confirming,confirmed
conform;conform,conforms,conforming,conformed
confront;confront,confronts,confronting,confronted
confuse;confuse,confuses,confusing,confused
connect;connect,connects,connecting,connected
consider;consider,considers,considering,considered
consist;consist,consists,consisting,consisted
constitute;constitute,constitutes,constituting,constituted
construct;construct,constructs,constructing,constructed
consult;consult,consults,consulting,consulted
consume;consume,consumes,consuming,consumed
contact;contact,contacts,contacting,contacted
contain;contain,contains,containing,contained
contemplate;contemplate,contemplates,contemplating,contemplated
continue;continue,continues,continuing,continued
contract;contract,contracts,contracting,contracted
contrast;contrast,contrasts,contrasting,contrasted
contribute;contribute,contributes,contributing,contributed
control;control,controls,controlling,controlled
convert;convert,converts,converting,converted
convey;convey,conveys,conveying,conveyed
convict;convict,convicts,convicting,convicted
convince;convince,convinces,convincing,convinced
cook;cook,cooks,cooking,cooked
cool;cool,cools,cooling,cooled
cope;cope,copes,coping,coped
copy;copy,copies,copying,copied
correct;correct,corrects,correcting,corrected
correspond;correspond,corresponds,corresponding,corresponded
cost;cost,costs,costing
count;count,counts,counting,counted
counter;counter,counters,countering,countered
couple;couple,couples,coupling,coupled
cover;cover,covers,covering,covered
crack;crack,cracks,cracking,cracked
crash;crash,crashes,crashing,crashed
crawl;crawl,crawls,crawling,crawled
create;create,creates,creating,created
creep;creep,creeps,creeping,crept
criticise;criticise,criticises,criticising,criticised
criticize;criticize,criticizes,criticizing,criticized
cross;cross,crosses,crossing,crossed
crush;crush,crushes,crushing,crushed
cry;cry,cries,crying,cried
curl;curl,curls,curling,curled
cut;cut,cuts,cutting
damage;damage,damages,damaging,damaged
dance;dance,dances,dancing,danced
dare;dare,dares,daring,dared,daren't
date;date,dates,dating,dated
deal;deal,deals,dealing,dealt
debate;debate,debates,debating,debated
decide;decide,decides,deciding,decided
declare;declare,declares,declaring,declared
decline;decline,declines,declining,declined
decorate;decorate,decorates,decorating,decorated
decrease;decrease,decreases,decreasing,decreased
dedicate;dedicate,dedicates,dedicating,dedicated
deem;deem,deems,deeming,deemed
defeat;defeat,defeats,defeating,defeated
defend;defend,defends,defending,defended
define;define,defines,defining,defined
delay;delay,delays,delaying,delayed
deliver;deliver,delivers,delivering,delivered
demand;demand,demands,demanding,demanded
demonstrate;demonstrate,demonstrates,demonstrating,demonstrated
deny;deny,denies,denying,denied
depart;depart,departs,departing,departed
depend;depend,depends,depending,depended
depict;depict,depicts,depicting,depicted
deposit;deposit,deposits,depositing,deposited
deprive;deprive,deprives,depriving,deprived
derive;derive,derives,deriving,derived
descend;descend,descends,descending,descended
describe;describe,describes,describing,described
deserve;deserve,deserves,deserving,deserved
design;design,designs,designing,designed
desire;desire,desires,desiring,desired
destroy;destroy,destroys,destroying,destroyed
detect;detect,detects,detecting,detected
determine;determine,determines,determining,determined
develop;develop,develops,developing,developed
devise;devise,devises,devising,devised
devote;devote,devotes,devoting,devoted
dictate;dictate,dictates,dictating,dictated
die;die,dies,dying,died
differ;differ,differs,differing,differed
differentiate;differentiate,differentiates,differentiating,differentiated
dig;dig,digs,digging,dug
diminish;diminish,diminishes,diminishing,diminished
dip;dip,dips,dipping,dipped
direct;direct,directs,directing,directed
disagree;disagree,disagrees,disagreeing,disagreed
disappear;disappear,disappears,disappearing,disappeared
discharge;discharge,discharges,discharging,discharged
disclose;disclose,discloses,disclosing,disclosed
discover;discover,discovers,discovering,discovered
discuss;discuss,discusses,discussing,discussed
dislike;dislike,dislikes,disliking,disliked
dismiss;dismiss,dismisses,dismissing,dismissed
display;display,displays,displaying,displayed
dispose;dispose,disposes,disposing,disposed
dissolve;dissolve,dissolves,dissolving,dissolved
distinguish;distinguish,distinguishes,distinguishing,distinguished
distribute;distribute,distributes,distributing,distributed
disturb;disturb,disturbs,disturbing,disturbed
divert;divert,diverts,diverting,diverted
divide;divide,divides,dividing,divided
do;do,does,doing,did,done,don't,doesn't,didn't
dominate;dominate,dominates,dominating,dominated
double;double,doubles,doubling,doubled
doubt;doubt,doubts,doubting,doubted
draft;draft,drafts,banking,banked
drag;drag,drags,dragging,dragged
drain;drain,drains,draining,drained
draw;draw,draws,drawing,drew,drawn
dream;dream,dreams,dreaming,dreamt
dress;dress,dresses,dressing,dressed
drift;drift,drifts,drifting,drifted
drink;drink,drinks,drinking,drank,drunk
drive;drive,drives,driving,drove,driven
drop;drop,drops,dropping,dropped
drown;drown,drowns,drowning,drowned
dry;dry,dries,drying,dried
dump;dump,dumps,dumping,dumped
earn;earn,earns,earning,earned
ease;ease,eases,easing,eased
eat;eat,eats,eating,ate,eaten
echo;echo,echoes,echoing,echoed
edit;edit,edits,editing,edited
educate;educate,educates,educating,educated
effect;effect,effects,effecting,effected
elect;elect,elects,electing,elected
eliminate;eliminate,eliminates,eliminating,eliminated
embark;embark,embarks,embarking,embarked
embody;embody,embodies,embodying,embodied
embrace;embrace,embraces,embracing,embraced
emerge;emerge,emerges,emerging,emerged
emphasise;emphasise,emphasises,emphasising,emphasised
emphasize;emphasize,emphasizes,emphasizing,emphasized
employ;employ,employs,employing,employed
enable;enable,enables,enabling,enabled
enclose;enclose,encloses,enclosing,enclosed
encounter;encounter,encounters,encountering,encountered
encourage;encourage,encourages,encouraging,encouraged
end;end,ends,ending,ended
endorse;endorse,endorses,endorsing,endorsed
enforce;enforce,enforces,enforcing,enforced
engage;engage,engages,engaging,engaged
enhance;enhance,enhances,enhancing,enhanced
enjoy;enjoy,enjoys,enjoying,enjoyed
enquire;enquire,enquires,enquiring,enquired
ensure;ensure,ensures,ensuring,ensured
entail;entail,entails,entailing,entailed
enter;enter,enters,entering,entered
entertain;entertain,entertains,entertaining,entertained
entitle;entitle,entitles,entitling,entitled
envisage;envisage,envisages,envisaging,envisaged
equip;equip,equips,equipping,equipped
erect;erect,erects,erecting,erected
escape;escape,escapes,scaping,scaped
establish;establish,establishes,establishing,established
estimate;estimate,estimates,estimating,estimated
evaluate;evaluate,evaluates,evaluating,evaluated
evolve;evolve,evolves,evolving,evolved
examine;examine,examines,examining,examined
exceed;exceed,exceeds,exceeding,exceeded
exchange;exchange,exchanges,exchanging,exchanged
exclude;exclude,excludes,excluding,excluded
excuse;excuse,excuses,excusing,excused
execute;execute,executes,executing,executed
exercise;exercise,exercises,exercising,exercised
exert;exert,exerts,exerting,exerted
exhaust;exhaust,exhausts,exhausting,exhausted
exhibit;exhibit,exhibits,exhibiting,exhibited
exist;exist,exists,existing,existed
expand;expand,expands,expanding,expanded
expect;expect,expects,expecting,expected
experience;experience,experiences,experiencing,experienced
explain;explain,explains,explaining,explained
explode;explode,explodes,exploding,exploded
exploit;exploit,exploits,exploiting,exploited
explore;explore,explores,exploring,explored
export;export,exports,exporting,exported
expose;expose,exposes,exposing,exposed
express;express,expresses,expressing,expressed
extend;extend,extends,extending,extended
extract;extract,extracts,extracting,extracted
face;face,faces,facing,faced
facilitate;facilitate,facilitates,facilitating,facilitated
fade;fade,fades,fading,faded
fail;fail,fails,failing,failed
fall;fall,falls,falling,fell,fallen
fancy;fancy,fancies,fancying,fancied
favour;favour,favours,favouring,favoured
fear;fear,fears,fearing,feared
feature;feature,features,featuring,featured
feed;feed,fees,feeing
feel;feel,feels,feeling,felt
fetch;fetch,fetches,fetching,fetched
fight;fight,fights,fighting,fought
figure;figure,figures,figuring,figured
file;file,files,filing,filed
fill;fill,fills,filling,filled
finance;finance,finances,financing,financed
find;find,finds,finding,found
fine;fine,fines,fining,fined
finish;finish,finishes,finishing,finished
fire;fire,fires,firing,fired
fit;fit,fits,fitting,fitted
fix;fix,fixes,fixing,fixed
flash;flash,flashes,flashing,flashed
flee;flee,flees,fleeing,fled
fling;fling,flings,flinging,flung
float;float,floats,floating,floated
flood;flood,floods,flooding,flooded
flow;flow,flows,flowing,flowed
fly;fly,flies,flying,flew,flown
focus;focus,focuses,focussing,focussed
fold;fold,folds,folding,folded
follow;follow,follows,following,followed
forbid;forbid,forbids,forbidding,forbade,forbidden
force;force,forces,forcing,forced
forget;forget,forgets,forgetting,forgot,forgotten
forgive;forgive,forgives,forgiving,forgave,forgiven
form;form,forms,forming,formed
formulate;formulate,formulates,formulating,formulated
found;find,finds,finding,found
free;free,frees,freeing,freed
freeze;freeze,freezes,freezing,froze,frozen
frighten;frighten,frightens,frightening,frightened
frown;frown,frowns,frowning,frowned
fuck;fuck,fucks,fucking,fucked
fulfil;fulfil,fulfils,fulfilling,fulfilled
function;function,functions,functioning,functioned
fund;fund,funds,funding,funded
gain;gain,gains,gaining,gained
gasp;gasp,gasps,gasping,gasped
gather;gather,gathers,gathering,gathered
gaze;gaze,gazes,gazing,gazed
generate;generate,generates,generating,generated
get;get,gets,getting,got,gotten
give;give,gives,giving,gave,given
glance;glance,glances,glancing,glanced
go;go,goes,going,went,gone
going;go,goes,going,went,gone
govern;govern,governs,governing,governed
grab;grab,grabs,grabbing,grabbed
grant;grant,grants,granting,granted
grasp;grasp,grasps,grasping,grasped
greet;greet,greets,greeting,greeted
grin;grin,grins,grinning,grinned
grip;grip,grips,gripping,gript
grow;grow,grows,growing,grew,grown
guarantee;guarantee,guarantees,guaranteeing,guaranteed
guard;guard,guards,guarding,guarded
guess;guess,guesses,guessing,guessed
guide;guide,guides,guiding,guided
halt;halt,halts,halting,halted
hand;hand,hands,handing,handed
handle;handle,handles,handling,handled
hang;hang,hangs,hanging,hung
happen;happen,happens,happening,happened
hate;hate,hates,hating,hated
have;have,has,having,had,haven't,hasn't,hadn't
head;head,heads,heading,headed
hear;hear,hears,hearing,heard
heat;heat,heats,heating,het
help;help,helps,helping,helped
hesitate;hesitate,hesitates,hesitating,hesitated
hide;hide,hides,hiding,hid,hidden
highlight;highlight,highlights,highlighting,highlighted
hire;hire,hires,hiring,hired
hit;hit,hits,hitting
hold;hold,holds,holding,held
honour;honour,honours,honouring,honoured
hope;hope,hopes,hoping,hoped
house;house,houses,housing,housed
hunt;hunt,hunts,hunting,hunted
hurry;hurry,hurries,hurrying,hurried
hurt;hurt,hurts,hurting
identify;identify,identifies,identifying,identified
ignore;ignore,ignores,ignoring,ignored
illustrate;illustrate,illustrates,illustrating,illustrated
imagine;imagine,imagines,imagining,imagined
implement;implement,implements,implementing,implemented
imply;imply,implies,implying,implied
import;import,imports,importing,imported
impose;impose,imposes,imposing,imposed
impress;impress,impresses,impressing,impressed
improve;improve,improves,improving,improved
in;in,ins,ining,ined
include;include,includes,including,included
incorporate;incorporate,incorporates,incorporating,incorporated
increase;increase,increases,increasing,increased
incur;incur,incurs,incurring,incurred
indicate;indicate,indicates,indicating,indicated
induce;induce,induces,inducing,induced
influence;influence,influences,influencing,influenced
inform;inform,informs,informing,informed
inherit;inherit,inherits,inheriting,inherited
inhibit;inhibit,inhibits,inhibiting,inhibited
initiate;initiate,initiates,initiating,initiated
injure;injure,injures,injuring,injured
insert;insert,inserts,inserting,inserted
insist;insist,insists,insisting,insisted
inspect;inspect,inspects,inspecting,inspected
inspire;inspire,inspires,inspiring,inspired
install;install,instals,installing,installed
instruct;instruct,instructs,instructing,instructed
integrate;integrate,integrates,integrating,integrated
intend;intend,intends,intending,intended
interfere;interfere,interferes,interfering,interfered
interpret;interpret,interprets,interpreting,interpreted
interrupt;interrupt,interrupts,interrupting,interrupted
intervene;intervene,intervenes,intervening,intervened
interview;interview,interviews,interviewing,interviewed
introduce;introduce,introduces,introducing,introduced
invent;invent,invents,inventing,invented
invest;invest,invests,investing,invested
investigate;investigate,investigates,investigating,investigated
invite;invite,invites,inviting,invited
involve;involve,involves,involving,involved
isolate;isolate,isolates,isolating,isolated
issue;issue,issues,issuing,issued
join;join,joins,joining,joined
judge;judge,judges,judging,judged
jump;jump,jumps,jumping,jumped
justify;justify,justifies,justifying,justified
keep;keep,keeps,keeping,kept
kick;kick,kicks,kicking,kicked
kill;kill,kills,killing,killed
kiss;kiss,kisses,kissing,kissed
knit;knit,knits,knitting,knitted
knock;knock,knocks,knocking,knocked
know;know,knows,knowing,knew,known
label;label,labels,labelling,labelled
lack;lack,lacks,lacking,lacked
land;land,lands,landing,landed
last;last,lasts,lasting,lasted
laugh;laugh,laughs,laughing,laughed
launch;launch,launches,launching,launched
lay;lay,lays,laying,layed
lead;lead,leads,leading,led
lean;lean,leans,leaning,leant
leap;leap,leaps,leaping,leapt
learn;learn,learns,learning,learnt
leave;leave,leaves,leaving,leaved
lend;lend,lends,lending,lent
let;let,lets,letting
lie;lie,lies,lying,lied
lift;lift,lifts,lifting,lifted
light;light,lights,lighting,lighted
like;like,likes,liking,liked
limit;limit,limits,limiting,limited
line;line,lines,lining,lined
link;link,links,linking,linked
list;list,lists,listing,listed
listen;listen,listens,listening,listened
live;live,lives,living,lived
load;load,loads,loading,loaded
locate;locate,locates,locating,located
lock;lock,locks,locking,locked
long;long,longs,longing,longed
look;look,looks,looking,looked
lose;lose,loses,losing,lost
love;love,loves,loving,loved
lower;lower,lowers,lowering,lowered
maintain;maintain,maintains,maintaining,maintained
make;make,makes,making,made
manage;manage,manages,managing,managed
manipulate;manipulate,manipulates,manipulating,manipulated
manufacture;manufacture,manufactures,manufacturing,manufactured
march;march,marches,marching,marched
mark;mark,marks,marking,marked
market;market,markets,marketing,marketed
marry;marry,marries,marrying,married
match;match,matches,matching,matched
matter;matter,matters,mattering,mattered
mean;mean,means,meaning,meant
measure;measure,measures,measuring,measured
meet;meet,meets,meeting,met
melt;melt,melts,melting,melted,molten
mention;mention,mentions,mentioning,mentioned
merge;merge,merges,merging,merged
mind;mind,minds,minding,minded
miss;miss,misses,missing,missed
mix;mix,mixes,mixing,mixed
modify;modify,modifies,modifying,modified
monitor;monitor,monitors,monitoring,monitored
motivate;motivate,motivates,motivating,motivated
mount;mount,mounts,mounting,mounted
move;move,moves,moving,moved
multiply;multiply,multiplies,multiplying,multiplied
murder;murder,murders,murdering,murdered
murmur;murmur,murmurs,murmuring,murmured
mutter;mutter,mutters,muttering,muttered
name;name,names,naming,named
narrow;narrow,narrows,narrowing,narrowed
need;need,needs,needing,needed,needn't
neglect;neglect,neglects,neglecting,neglected
negotiate;negotiate,negotiates,negotiating,negotiated
nod;nod,nods,nodding,nodded
note;note,notes,noting,noted
notice;notice,notices,noticing,noticed
obey;obey,obeys,obeying,obeyed
object;object,objects,objecting,objected
observe;observe,observes,observing,observed
obtain;obtain,obtains,obtaining,obtained
occupy;occupy,occupies,occupying,occupied
occur;occur,occurs,occurring,occurred
offer;offer,offers,offering,offered
omit;omit,omits,omitting,omitted
open;open,opens,opening,opened
operate;operate,operates,operating,operated
oppose;oppose,opposes,opposing,opposed
opt;opt,opts,opting,opted
order;order,orders,ordering,ordered
organise;organise,organises,organising,organised
organize;organize,organizes,organizing,organized
originate;originate,originates,originating,originated
outline;outline,outlines,outlining,outlined
overcome;overcome,overcomes,overcoming,overcame
overlook;overlook,overlooks,overlooking,overlooked
owe;owe,owes,owing,owed
own;own,owns,owning,owned
pack;pack,packs,packing,packed
paint;paint,paints,painting,painted
park;park,parks,parking,parked
part;part,parts,parting,parted
participate;participate,participates,participating,participated
pass;pass,passes,passing,passed
pause;pause,pauses,pausing,paused
pay;pay,pays,paying,payed
peer;peer,peers,peering,peered
penetrate;penetrate,penetrates,penetrating,penetrated
perceive;perceive,perceives,perceiving,perceived
perform;perform,performs,performing,performed
permit;permit,permits,permitting,permitted
persist;persist,persists,persisting,persisted
persuade;persuade,persuades,persuading,persuaded
phone;phone,phones,phoning,phoned
pick;pick,picks,picking,picked
picture;picture,pictures,picturing,pictured
pin;pin,pins,pinning,pinned
place;place,places,placing,placed
plan;plan,plans,planning,planned
plant;plant,plants,planting,planted
play;play,plays,playing,played
plead;plead,pleads,pleading,pled
please;please,pleases,pleasing,pleased
plunge;plunge,plunges,plunging,plunged
point;point,points,pointing,pointed
pop;pop,pops,popping,popped
pose;pose,poses,posing,posed
position;position,positions,positioning,positioned
possess;possess,possesses,possessing,possessed
pour;pour,pours,pouring,poured
practise;practise,practises,practising,practised
praise;praise,praises,praising,praised
pray;pray,prays,praying,prayed
precede;precede,precedes,preceding,preceded
predict;predict,predicts,predicting,predicted
prefer;prefer,prefers,preferring,preferred
prepare;prepare,prepares,preparing,prepared
prescribe;prescribe,prescribes,prescribing,prescribed
present;present,presents,presenting,presented
preserve;preserve,preserves,preserving,preserved
press;press,presses,pressing,pressed
presume;presume,presumes,presuming,presumed
pretend;pretend,pretends,pretending,pretended
prevail;prevail,prevails,prevailing,prevailed
prevent;prevent,prevents,preventing,prevented
price;price,prices,pricing,priced
print;print,prints,printing,printed
proceed;proceed,proceeds,proceeding,proceeded
process;process,processes,processing,processed
proclaim;proclaim,proclaims,proclaiming,proclaimed
produce;produce,produces,producing,produced
progress;progress,progresses,progressing,progressed
project;project,projects,projecting,projected
promise;promise,promises,promising,promised
promote;promote,promotes,promoting,promoted
prompt;prompt,prompts,prompting,prompted
pronounce;pronounce,pronounces,pronouncing,pronounced
propose;propose,proposes,proposing,proposed
protect;protect,protects,protecting,protected
protest;protest,protests,protesting,protested
prove;prove,proves,proving,proved,proven
provide;provide,provides,providing,provided
provoke;provoke,provokes,provoking,provoked
publish;publish,publishes,publishing,published
pull;pull,pulls,pulling,pulled
punish;punish,punishes,punishing,punished
purchase;purchase,purchases,purchasing,purchased
pursue;pursue,pursues,pursuing,pursued
push;push,pushes,pushing,pushed
put;put,puts,putting
qualify;qualify,qualifies,qualifying,qualified
question;question,questions,questioning,questioned
quote;quote,quotes,quoting,quoth,quoted
race;race,races,racing,raced
rain;rain,rains,raining,rained
raise;raise,raises,raising,raised
range;range,ranges,ranging,ranged
rate;rate,rates,rating,rated
reach;reach,reaches,reaching,reached
react;react,reacts,reacting,reacted
read;read,reads,reading
realise;realise,realises,realising,realised
realize;realize,realizes,realizing,realized
reassure;reassure,reassures,reassuring,reassured
rebuild;rebuild,rebuilds,rebuilding,rebuilt
recall;recall,recalls,recalling,recalled
receive;receive,receives,receiving,received
reckon;reckon,reckons,reckoning,reckoned
recognise;recognise,recognises,recognising,recognised
recognize;recognize,recognizes,recognizing,recognized
recommend;recommend,recommends,recommending,recommended
record;record,records,recording,recorded
recover;recover,recovers,recovering,recovered
recruit;recruit,recruits,recruiting,recruited
reduce;reduce,reduces,reducing,reduced
refer;refer,refers,referring,referred
reflect;reflect,reflects,reflecting,reflected
refuse;refuse,refuses,refusing,refused
regain;regain,regains,regaining,regained
regard;regard,regards,regarding,regarded
register;register,registers,registering,registered
regret;regret,regrets,regretting,regretted
regulate;regulate,regulates,regulating,regulated
reinforce;reinforce,reinforces,reinforcing,reinforced
reject;reject,rejects,rejecting,rejected
relate;relate,relates,relating,related
relax;relax,relaxes,relaxing,relaxed
release;release,releases,releasing,released
relieve;relieve,relieves,relieving,relieved
rely;rely,relies,relying,relied
remain;remain,remains,remaining,remained
remark;remark,remarks,remarking,remarked
remember;remember,remembers,remembering,remembered
remind;remind,reminds,reminding,reminded
remove;remove,removes,removing,removed
render;render,renders,rendering,rendered
renew;renew,renews,renewing,renewed
rent;rent,rents,renting,rented
repair;repair,repairs,repairing,repaired
repeat;repeat,repeats,repeating,repeated
replace;replace,replaces,replacing,replaced
reply;reply,replies,replying,replied
report;report,reports,reporting,reported
represent;represent,represents,representing,represented
reproduce;reproduce,reproduces,reproducing,reproduced
request;request,requests,requesting,requested
require;require,requires,requiring,required
rescue;rescue,rescues,rescuing,rescued
research;research,researches,researching,researched
resemble;resemble,resembles,resembling,resembled
reserve;reserve,reserves,reserving,reserved
resign;resign,resigns,resigning,resigned
resist;resist,resists,resisting,resisted
resolve;resolve,resolves,resolving,resolved
respect;respect,respects,respecting,respected
respond;respond,responds,responding,responded
rest;rest,rests,resting,rested
restore;restore,restores,restoring,restored
restrict;restrict,restricts,restricting,restricted
result;result,results,resulting,resulted
resume;resume,resumes,resuming,resumed
retain;retain,retains,retaining,retained
retire;retire,retires,retiring,retired
return;return,returns,returning,returned
reveal;reveal,reveals,revealing,revealed
reverse;reverse,reverses,reversing,reversed
review;review,reviews,reviewing,reviewed
revise;revise,revises,revising,revised
revive;revive,revives,reviving,revived
reward;reward,rewards,rewarding,rewarded
rid;rid,rids,ridding,ridded
ride;ride,rides,riding,rode,ridden
ring;ring,rings,ringing,rung
rip;rip,rips,ripping,ripped
rise;rise,rises,rising,rose,risen
risk;risk,risks,risking,risked
roll;roll,rolls,rolling,rolled
round;round,rounds,rounding,rounded
rub;rub,rubs,rubbing,rubbed
rule;rule,rules,ruling,ruled
run;run,runs,running,ran
rush;rush,rushes,rushing,rushed
sack;sack,sacks,sacking,sacked
sail;sail,sails,sailing,sailed
satisfy;satisfy,satisfies,satisfying,satisfied
save;save,saves,saving,saved
say;say,says,saying,said
scan;scan,scans,scanning,scanned
scatter;scatter,scatters,scattering,scattered
schedule;schedule,schedules,scheduling,scheduled
score;score,scores,scoring,scored
scratch;scratch,scratches,scratching,scratched
scream;scream,screams,screaming,screamed
seal;seal,seals,sealing,sealed
search;search,searches,searching,searched
secure;secure,secures,securing,secured
see;see,sees,seeing,saw,seen
