a-t-elle;a-t-el
approfondie;approfond
approprié;appropri
approuvé;approuv
appréciable;appréci
appréciation;appréci
apprécie;apprec
apprécier;appréci
apprécié;appréci
appréciée;appréci
appuie;appui
appétit;appet
apéritif;apérit
arabe;arab
arbitrage;arbitrag
arbres;arbre
architecte;architect
architectes;architect
architecture;architectur
archives;archiv
ardennes;arden
argentine;argentin
argumente;argument
arguments;argument
ariane;arian
armani;arman
armes;arme
armée;armé
arrive;arriv
arriver;arriv
arrivé;arriv
arrivée;arriv
arrivés;arriv
article;articl
articles;articl
artificielle;artificiel
artisanale;artisanal
artisans;artisan
artiste;artist
artistes;artist
artistique;artist
artistiques;artist
arts;art
ascension;ascens
asiatique;asiat
asiatiques;asiat
asie;asi
aspects;aspect
assainissement;assain
assemblage;assemblag
assemblée;assembl
assemblées;assembl
assiette;assiet
assiettes;assiet
assise;assis
assistance;assist
assistant;assist
assiste;assist
assister;assist
assisté;assist
assistée;assist
associates;associat
association;associ
associations;associ
associe;assoc
associé;associ
associée;associ
associés;associ
assorti;assort
assortie;assort
assume;assum
assumer;assum
assurance;assur
assurance-vie;assurance-v
assurances;assur
assurant;assur
assure;assur
assurer;assur
assureurs;assureur
assuré;assur
assurée;assur
assurément;assur
assurés;assur
atelier;ateli
ateliers;ateli
atlanta;atlant
atlantique;atlant
atouts;atout
attaché;attach
attachés;attach
attaque;attaqu
attaquer;attaqu
attaques;attaqu
atteignait;atteign
atteindre;atteindr
atteinte;atteint
atteints;atteint
attendait;attend
attendant;attend
attendons;attendon
attendre;attendr
attendue;attendu
attente;attent
attentes;attent
attentif;attent
attention;attent
attentivement;attent
attire;attir
attirer;attir
attiré;attir
attitude;attitud
attitudes;attitud
attractif;attract
attrayant;attrai
attrayante;attrai
attribue;attribu
attribuer;attribu
attribution;attribu
attribué;attribu
aube;aub
aucune;aucun
aucuns;aucun
audacieux;audaci
audience;audienc
audiofina;audiofin
augmentant;augment
augmentation;augment
augmentations;augment
augmente;augment
augmenter;augment
augmenté;augment
augmentée;augment
auparavant;auparav
aura;aur
auraient;aur
aurait;aur
aurez;aur
aurions;aurion
aussi;auss
australie;austral
autant;aut
auteurs;auteur
authentique;authent
automatique;automat
automatiquement;automat
automatiques;automat
automatisation;automatis
automne;automn
automobile;automobil
automobiles;automobil
automobilistes;automobil
autonome;autonom
autonomes;autonom
autonomie;autonom
autorisation;autoris
autorise;autoris
autorisé;autoris
autorisée;autoris
autorisés;autoris
autorité;autor
autorités;autor
autoroute;autorout
autoroutes;autorout
autre;autr
autrement;autr
autres;autr
autriche;autrich
auxquelles;auxquel
auxquels;auxquel
avance;avanc
avancer;avanc
avancé;avanc
avancée;avanc
avancées;avanc
avancés;avanc
avantage;avantag
avantages;avantag
avantageux;avantag
avenir;aven
aventure;aventur
aventures;aventur
avenue;avenu
avermaete;avermaet
averti;avert
avions;avion
avocats;avocat
avoirs;avoir
avons;avon
avoue;avou
avoué;avou
avérer;aver
avéré;aver
axes;axe
axée;axé
aérienne;aérien
aériennes;aérien
aéronautique;aéronaut
aéroports;aéroport
bactéries;bacter
bagages;bagag
bains;bain
baisse;baiss
baisser;baiss
baisses;baiss
baissé;baiss
balance;balanc
balle;ball
banale;banal
bancaire;bancair
bancaires;bancair
bande;band
bandes;band
banksys;banksy
banlieue;banlieu
banque;banqu
banques;banqu
banquette;banquet
banquier;banqui
banquiers;banqui
baptisé;baptis
baptisée;baptis
barbara;barbar
barcelone;barcelon
barings;baring
baroque;baroqu
barre;barr
barres;barr
bars;bar
base;bas
bases;bas
basse;bass
basé;bas
basée;bas
basées;bas
basés;bas
bataille;bataill
bateaux;bateau
batterie;batter
batteries;batter
battre;battr
bayer;bai
beauté;beaut
beaux;beau
beaux-arts;beaux-art
beke;bek
belcofi;belcof
belge;belg
belges;belg
belgique;belgiqu
bell;bel
belle;bel
belles;bel
berline;berlin
besoins;besoin
beurre;beurr
biais;bi
biens;bien
bilans;bilan
billets;billet
biographie;biograph
biologique;biolog
bits;bit
bizarre;bizarr
blanche;blanch
blanches;blanch
blancs;blanc
blessures;blessur
blessés;bless
bleue;bleu
blocage;blocag
blocs;bloc
blonde;blond
bloquer;bloqu
blue;blu
blues;blu
boire;boir
boissons;boisson
bombe;bomb
bonn;bon
bonne;bon
bonnes;bon
bons;bon
bordeaux;bordeau
bords;bord
bordure;bordur
boris;bor
bosnie;bosn
botanique;botan
bouche;bouch
bouge;boug
bouger;boug
bougies;boug
boule;boul
boules;boul
bourgmestre;bourgmestr
bourgogne;bourgogn
bourse;bours
bourses;bours
boursier;boursi
boursiers;boursi
bouteille;bouteil
bouteilles;bouteil
boutique;boutiqu
boutiques;boutiqu
boutons;bouton
brabant;brab
branche;branch
brancher;branch
branches;branch
branché;branch
brande;brand
brasserie;brasser
brederode;brederod
brevets;brevet
bricolage;bricolag
brigitte;brigitt
brillant;brill
brillante;brill
brillantes;brill
brillants;brill
brille;brill
brique;briqu
briques;briqu
briser;bris
britannique;britann
britanniques;britann
brochure;brochur
brochures;brochur
broker;brok
brokers;broker
bronze;bronz
brosse;bross
brothers;brother
bruges;brug
bruits;bruit
brusquement;brusqu
brussels;brussel
brutale;brutal
brutalement;brutal
brute;brut
bruts;brut
bruxelles;bruxel
bruxelles-capitale;bruxelles-capital
bruxelloise;bruxellois
bruxelloises;bruxellois
budgets;budget
budgétaire;budgétair
budgétaires;budgétair
buffett;buffet
bulles;bull
bureaux;bureau
burundi;burund
bébé;beb
bébés;beb
bénéfice;bénéfic
bénéfices;bénéfic
bénéficiaire;bénéficiair
bénéficiaires;bénéficiair
bénéficiant;bénéfici
bénéficie;bénéfic
bénéficier;bénéfici
bénéficié;bénéfici
bénéfique;bénef
c'était;c'et
cabine;cabin
cabinets;cabinet
cache;cach
cacher;cach
caché;cach
cachés;cach
cadeaux;cadeau
cadre;cadr
cadres;cadr
café;caf
cafés;caf
cahier;cahi
caisse;caiss
caisses;caiss
calcule;calcul
calculer;calcul
calculs;calcul
calculé;calcul
calculée;calcul
calendrier;calendri
californie;californ
calls;call
calme;calm
calmer;calm
camions;camion
campagne;campagn
campagnes;campagn
camps;camp
caméra;camer
caméras;camer
canada;canad
canadienne;canadien
canaux;canal
cancer;canc
candidats;candidat
candidature;candidatur
cannes;cann
capable;capabl
capables;capabl
capacité;capac
capacités;capac
capitaine;capitain
capitale;capital
capitalisation;capitalis
capitalisme;capital
capitaux;capital
capteurs;capteur
caractérise;caractéris
caractéristique;caractérist
caractéristiques;caractérist
carbone;carbon
carburant;carbur
cardiaque;cardiaqu
carlier;carli
carnets;carnet
caroline;carolin
carrosserie;carrosser
carré;carr
carrément;carr
carrés;carr
carte;cart
cartes;cart
cartier;carti
cartons;carton
cascade;cascad
casque;casqu
cassation;cassat
casse;cass
casser;cass
casserole;casserol
cassette;casset
cassettes;casset
catalogue;catalogu
catalogues;catalogu
catastrophe;catastroph
catastrophes;catastroph
catastrophique;catastroph
catherine;catherin
catholique;cathol
catholiques;cathol
cathédrale;cathédral
catégorie;catégor
catégories;catégor
cause;caus
causes;caus
causé;caus
cave;cav
caves;cav
ceci;cec
ceinture;ceintur
cela;cel
celle;cel
celle-ci;celle-c
celles;cel
celles-ci;celles-c
cellule;cellul
cellules;cellul
celui-ci;celui-c
censé;cens
centaine;centain
centaines;centain
centenaire;centenair
center;cent
centimes;centim
centrale;central
centrales;central
centraux;central
centre;centr
centre-ville;centre-vill
centres;centr
cents;cent
cependant;cepend
cera;cer
cercle;cercl
cercles;cercl
cerner;cern
certaine;certain
certainement;certain
certaines;certain
certains;certain
certes;cert
certification;certif
certificats;certificat
certitude;certitud
ces;ce
cesse;cess
cesser;cess
cessé;cess
cette;cet
ceux-ci;ceux-c
chacune;chacun
chaise;chais
chaises;chais
chaleureux;chaleur
chambre;chambr
chambres;chambr
champagne;champagn
champignons;champignon
championnats;championnat
champions;champion
champs;champ
chance;chanc
chances;chanc
change;chang
changement;chang
changements;chang
changer;chang
changes;chang
changé;chang
chansons;chanson
chante;chant
chanter;chant
chantier;chanti
chantiers;chanti
chapelle;chapel
chapitre;chapitr
chapitres;chapitr
chaque;chaqu
charge;charg
chargement;charg
charger;charg
charges;charg
chargé;charg
chargée;charg
chargées;charg
chargés;charg
charles;charl
charme;charm
charmes;charm
chasse;chass
chasseurs;chasseur
chaude;chaud
chaudes;chaud
chauds;chaud
chauffage;chauffag
chauffeurs;chauffeur
chaussure;chaussur
chaussures;chaussur
chaussée;chauss
chef-oeuvre;chef-oeuvr
chefs;chef
chemins;chemin
chemise;chemis
chemises;chemis
cherche;cherch
chercher;cherch
chercheurs;chercheur
cherché;cherch
chers;cher
chevaux;cheval
chiens;chien
chiffre;chiffr
chiffres;chiffr
chili;chil
chimie;chim
chimique;chimiqu
chimiques;chimiqu
chine;chin
chinoise;chinois
chinoises;chinois
chips;chip
chirurgie;chirurg
chocs;choc
choisi;chois
choisie;chois
choisir;chois
choisis;chois
choisissent;chois
choisit;chois
chose;chos
choses;chos
christie's;christie'
christine;christin
christophe;christoph
chronique;chroniqu
chrysler;chrysl
chute;chut
chuter;chut
chutes;chut
chuté;chut
ci-contre;ci-contr
cible;cibl
cie;ci
cigarettes;cigaret
cinquantaine;cinquantain
cinquante;cinqu
cinéaste;cinéast
cinéma;cinem
circonstance;circonst
circonstances;circonst
circuits;circuit
circulaire;circulair
circulation;circul
circuler;circul
cirque;cirqu
cite;cit
citer;cit
citons;citon
citoyens;citoyen
cité;cit
citées;cit
cités;cit
civile;civil
civiles;civil
civilisation;civilis
civils;civil
claes;cla
claire;clair
clairement;clair
claires;clair
clairs;clair
clarté;clart
classe;class
classement;class
classer;class
classes;class
classique;classiqu
classiques;classiqu
classé;class
classés;class
claude;claud
clause;claus
clauses;claus
clavier;clavi
clefs;clef
clichés;clich
clients;client
clinique;cliniqu
clubs;club
clés;clé
coalition;coalit
cobepa;cobep
coca;coc
coca-cola;coca-col
code;cod
codes;cod
coffre;coffr
cohérence;cohérent
cohésion;cohes
coins;coin
cola;col
collaborateur;collabor
collaborateurs;collabor
collaboration;collabor
collaborer;collabor
collants;coll
colle;coll
collecte;collect
collectif;collect
collection;collect
collectionneurs;collectionneur
collections;collect
collective;collect
colloque;colloqu
cologne;cologn
colonne;colon
colonnes;colon
coloris;color
colorés;color
combattre;combattr
combinaisons;combinaison
combine;combin
combiner;combin
combiné;combin
comble;combl
combler;combl
combustible;combustibl
comité;comit
comités;comit
commande;command
commander;command
commandes;command
commandé;command
comme;comm
commence;commenc
commencer;commenc
commencé;commenc
commentaire;commentair
commentaires;commentair
commente;comment
commerce;commerc
commerces;commerc
commerciale;commercial
commerciales;commercial
commercialisation;commercialis
commercialise;commercialis
commercialiser;commercialis
commercialisé;commercialis
commercialisés;commercialis
commerciaux;commercial
commis;comm
commissaire;commissair
commission;commiss
commissions;comm
communale;communal
communales;communal
communautaire;communautair
communautaires;communautair
communauté;communaut
communautés;communaut
communaux;communal
commune;commun
communes;commun
communication;commun
communications;commun
communique;commun
communiquer;communiqu
communiqué;communiqu
communisme;commun
communiste;commun
communistes;commun
communs;commun
compagnie;compagn
compagnies;compagn
comparable;compar
comparables;compar
comparaisons;comparaison
compare;compar
comparer;compar
compartiment;compart
compartiments;compart
comparé;compar
compatibilité;compatibil
compatible;compatibl
compatibles;compatibl
compatriotes;compatriot
compensation;compens
compenser;compens
compensée;compens
complets;complet
complexe;complex
complexes;complex
complexité;complex
complice;complic
complices;complic
complicité;compliqu
compliqué;compliqu
compliquée;compliqu
complément;compl
complémentaire;complémentair
complémentaires;complémentair
compléter;complet
complété;complet
comportant;comport
comporte;comport
comportement;comport
comportements;comport
comporter;comport
composant;compos
composantes;compos
composants;compos
compose;compos
composer;compos
composition;composit
compositions;composit
composé;compos
composée;compos
composés;compos
comprenant;compren
comprendre;comprendr
comprends;comprend
compression;compress
compris;compr
comprise;compris
compromis;comprom
compréhension;compréhens
comptabilité;comptabl
comptable;comptabl
comptables;comptabl
comptait;compt
comptant;compt
compte;compt
compter;compt
comptes;compt
compté;compt
compuserve;compuserv
computer;comput
compétence;compétent
compétences;compétent
compétitif;compétit
compétitifs;compétit
compétition;compétit
compétitions;compétit
compétitivité;compétit
comte;comt
comédie;comed
comédiens;comédien
concentration;concentr
concentre;concentr
concentrer;concentr
concentré;concentr
concepteurs;concepteur
conception;concept
concepts;concept
concernant;concern
concerne;concern
concerné;concern
concernée;concern
concernées;concern
concernés;concern
concertation;concert
concerts;concert
concession;concess
concessions;concess
conclure;conclur
conclusion;conclus
conclusions;conclus
concours;concour
concrets;concret
concrétiser;concrétis
concurrence;concurrent
concurrencer;concurrenc
concurrentes;concurrent
concurrentielle;concurrentiel
concurrents;concurrent
condamnation;condamn
condamné;condamn
condamnés;condamn
condition;condit
conditionnement;condition
conditions;condit
conducteurs;conducteur
conduire;conduir
conduite;conduit
confection;confect
confiance;confianc
confiant;confi
confie;conf
confier;confi
configuration;configur
confirmation;confirm
confirme;confirm
confirmer;confirm
confirmé;confirm
confirmée;confirm
confié;confi
confiée;confi
conflit;confl
conflits;conflit
confondre;confondr
conforme;conform
conformes;conform
conformité;conform
conformément;conform
confortable;confort
confortables;confort
confrontation;confront
confronté;confront
confrontée;confront
confrontés;confront
confusion;confus
conférence;conférent
conférences;conférent
congé;cong
conjointement;conjoint
conjoints;conjoint
conjoncture;conjonctur
conjoncturelle;conjoncturel
connais;con
connaissait;connaiss
connaissance;connaiss
connaissances;connaiss
connaissons;connaisson
connecter;connect
connexions;connex
connue;connu
connues;connu
conquis;conqu
conquérir;conquer
consacre;consacr
consacrer;consacr
consacré;consacr
consacrée;consacr
consacrés;consacr
conscience;conscienc
conscients;conscient
conseille;conseil
conseiller;conseil
conseillers;conseiller
conseillons;conseillon
conseillé;conseil
conseils;conseil
consenti;consent
consentir;consent
consentis;consent
conservant;conserv
conservateur;conserv
conservateurs;conserv
conservation;conserv
conservatoire;conservatoir
conserve;conserv
conserver;conserv
conservé;conserv
conservée;conserv
considérable;consider
considérablement;consider
considérables;consider
considération;consider
considérations;consider
considérer;consider
considéré;consider
considérée;consider
considérées;consider
considérés;consider
consistait;consist
consiste;consist
console;consol
consolidation;consolid
consolider;consolid
consolidé;consolid
consommateur;consomm
consommateurs;consomm
consommation;consomm
consomme;consomm
consommer;consomm
consommé;consomm
constamment;const
constant;const
constante;const
constatation;constat
constate;constat
constater;constat
constaté;constat
constitue;constitu
constituer;constitu
constitution;constitu
constitué;constitu
constituée;constitu
constructeurs;constructeur
construction;construct
constructions;construct
construire;construir
construite;construit
construits;construit
consultance;consult
consultant;consult
consultants;consult
consultation;consult
consulter;consult
consécutive;consécut
conséquence;conséquent
conséquences;conséquent
contacter;contact
contacts;contact
conte;cont
contemporaine;contemporain
contemporains;contemporain
contenant;conten
conteneurs;conteneur
contenir;conten
contente;content
contenter;content
contestation;contest
conteste;contest
contexte;context
continentale;continental
continents;continent
continue;continu
continuer;continu
continuera;continu
continueront;continu
continuité;continu
continué;continu
contradiction;contradict
contrainte;contraint
contraintes;contraint
contraints;contraint
contraire;contrair
contrairement;contrair
contraste;contrast
contrats;contrat
contre;contr
contrepartie;contrepart
contrer;contr
contribuable;contribu
contribuables;contribu
contribue;contribu
contribuer;contribu
contribution;contribu
contributions;contribu
contribué;contribu
convaincre;convaincr
convention;convent
conventions;convent
convergence;convergent
conversation;convers
conversations;convers
conversion;convers
convertible;convertibl
convertibles;convertibl
convertir;convert
conviction;convict
convivialité;convivial
cools;cool
coopération;cooper
coopérative;cooper
coordination;coordin
coordonnées;coordon
copains;copain
copie;cop
copies;cop
coquille;coquill
coquilles;coquill
corde;cord
cordes;cord
corporate;corporat
corporation;corpor
corps;corp
correcte;correct
correctement;correct
correction;correct
corrections;correct
correspondance;correspond
correspondant;correspond
corriger;corrig
corruption;corrupt
corrélation;correl
corée;cor
cosmétiques;cosmet
costume;costum
costumes;costum
cotait;cot
cotation;cotat
cote;cot
cotisation;cotis
cotisations;cotis
coté;cot
cotée;cot
cotées;cot
cotés;cot
couche;couch
coucher;couch
couches;couch
couler;coul
couleurs;couleur
coulisses;coul
couloirs;couloir
coupable;coupabl
coupables;coupabl
coupe;coup
couper;coup
coupes;coup
couple;coupl
couples;coupl
coupons;coupon
coups;coup
coupé;coup
courage;courag
courant;cour
courante;cour
courantes;cour
courants;cour
courbe;courb
courbes;courb
coureurs;coureur
courir;cour
couronne;couron
courrier;courri
cours;cour
cours-bénéfice;cours-bénéfic
course;cours
courses;cours
courtage;courtag
courte;court
courtes;court
courtier;courti
courtiers;courti
courtrai;courtr
courts;court
coutume;coutum
couture;coutur
couverte;couvert
couverts;couvert
couverture;couvertur
couvrant;couvr
couvre;couvr
couvrir;couvr
craindre;craindr
crainte;craint
craintes;craint
cravate;cravat
crevettes;crevet
creyf's;creyf'
crime;crim
criminalité;criminal
crise;cris
crises;cris
critique;critiqu
critiques;critiqu
croire;croir
croissance;croissanc
croissant;croiss
croissante;croiss
croyait;croi
créance;créanc
créances;créanc
créancier;créanci
créanciers;créanci
créant;cré
créateurs;créateur
créatifs;créatif
créations;création
créativité;créativ
créatrice;créatric
crédibilité;crédibil
crédible;crédibl
crédit;cred
crédits;crédit
crée;cré
créer;cré
créé;cré
créée;cré
créées;cré
créés;cré
cuba;cub
cubes;cub
cuire;cuir
cuisine;cuisin
cuisinier;cuisini
cuivre;cuivr
culpabilité;culpabl
culte;cult
cultive;cultiv
culture;cultur
culturelle;culturel
culturelles;culturel
culturels;culturel
cultures;cultur
cure;cur
curieusement;curieux
curiosité;curios
cuvée;cuv
cycle;cycl
cycles;cycl
cyclique;cycliqu
cycliques;cycliqu
cycliste;cyclist
cylindres;cylindr
céder;ced
cédé;ced
céramique;céram
d'ailleurs;d'ailleur
d'aucuns;d'aucun
d'autant;d'aut
d'autre;d'autr
d'autres;d'autr
d'ici;d'ic
d'une;d'un
dame;dam
dames;dam
danger;dang
dangereuse;danger
dangereuses;danger
dangereux;danger
dangers;danger
danoise;danois
danone;danon
dans;dan
danse;dans
danvers;danver
data;dat
datant;dat
date;dat
dates;dat
davantage;davantag
degré;degr
degrés;degr
dehaene;dehaen
dehors;dehor
delhaize;delhaiz
dell;del
delta;delt
delvaux;delval
demandait;demand
demandant;demand
demande;demand
demander;demand
demandes;demand
demandeurs;demandeur
demandé;demand
demandée;demand
demandés;demand
demeurant;demeur
demeure;demeur
demi;dem
demi-heure;demi-heur
denis;den
dense;dens
densité;densit
dents;dent
deprez;depr
dernier;derni
derniers;derni
des;de
descendre;descendr
descente;descent
description;descript
designer;design
desquelles;desquel
desquels;desquel
desserts;dessert
dessine;dessin
dessiner;dessin
dessins;dessin
dessiné;dessin
dessinée;dessin
destination;destin
destinations;destin
destiné;destin
destinée;destin
destinées;destin
destinés;destin
destruction;destruct
dette;det
dettes;det
deutsche;deutsch
devaient;dev
devait;dev
devant;dev
devenait;deven
devenant;deven
devenir;deven
devenue;devenu
devenues;devenu
devez;dev
deviendra;deviendr
devienne;devien
devise;devis
devises;devis
devoirs;devoir
devons;devon
devra;devr
devraient;devr
devrait;devr
dexia;dexi
diable;diabl
dialogue;dialogu
diamant;diam
diamants;diam
dictionnaire;dictionnair
didier;didi
die;di
difficile;difficil
difficilement;difficil
difficiles;difficil
difficulté;difficult
difficultés;difficult
diffuse;diffus
diffuser;diffus
diffusion;diffus
diffusé;diffus
diffusée;diffus
différemment;différent
différence;différent
différences;différent
différente;différent
différentes;différent
différents;différent
digitale;digital
digne;dign
dignes;dign
dimanche;dimanch
dimension;dimens
dimensions;dimens
diminue;diminu
diminuer;diminu
diminution;diminu
diminué;diminu
dira;dir
dire;dir
directe;direct
directement;direct
directes;direct
directeurs;directeur
direction;direct
directions;direct
directive;direct
directives;direct
directrice;directric
directs;direct
dirige;dirig
dirigeant;dirig
dirigeants;dirig
diriger;dirig
dirigé;dirig
dirigée;dirig
disait;dis
disant;dis
discipline;disciplin
disciplines;disciplin
discours;discour
discrimination;discrimin
discrétion;discret
discussion;discuss
discussions;discuss
discuter;discut
disparition;disparit
disponibilité;disponibil
disponible;disponibl
disponibles;disponibl
disposait;dispos
disposant;dispos
dispose;dispos
disposer;dispos
dispositif;disposit
disposition;disposit
dispositions;disposit
disposons;disposon
disposé;dispos
disposés;dispos
disque;disqu
disques;disqu
disquette;disquet
disquettes;disquet
distance;distanc
distances;distanc
distinctes;distinct
distinction;distinct
distingue;distingu
distinguer;distingu
distribue;distribu
distribuer;distribu
distributeurs;distributeur
distribution;distribu
distribué;distribu
distribués;distribu
dite;dit
dites;dit
dits;dit
divergences;divergent
divers;diver
diverses;divers
diversification;diversif
diversifier;diversifi
diversifié;diversifi
diversité;divers
dividende;dividend
dividendes;dividend
division;divis
divisions;divis
divisé;divis
divorce;divorc
dizaine;dizain
dizaines;dizain
document;docu
documentation;document
documents;docu
doigts;doigt
dollars;dollar
domaine;domain
domaines;domain
domestique;domest
domestiques;domest
domicile;domicil
dominante;domin
domine;domin
dominique;domin
dominé;domin
dommage;dommag
dommages;dommag
donation;donat
donnait;don
donnant;don
donne;don
donner;don
donnera;don
donné;don
donnée;don
données;don
donnés;don
dons;don
dormir;dorm
doré;dor
dorénavant;dorénav
dose;dos
dossier;dossi
dossiers;dossi
doter;dot
doté;dot
dotée;dot
dotés;dot
double;doubl
doublement;doubl
doubler;doubl
doubles;doubl
doublé;doubl
douce;douc
doucement;douc
douces;douc
douche;douch
douglas;dougl
douleurs;douleur
douloureux;doulour
doute;dout
douter;dout
doutes;dout
douteuses;douteux
douzaine;douzain
douze;douz
dramatique;dramat
drame;dram
dresse;dress
dresser;dress
drogue;drogu
drogues;drogu
droite;droit
droits;droit
due;du
dues;du
durable;durabl
durables;durabl
durant;dur
duration;durat
dure;dur
durement;dur
durer;dur
durs;dur
duré;dur
durée;dur
durées;dur
dynamique;dynam
dynamiques;dynam
dynamisme;dynam
dysfonctionnements;dysfonction
débarque;débarqu
débarrasser;débarrass
débats;débat
débit;deb
débiteurs;débiteur
déboires;déboir
débouche;débouch
déboucher;débouch
débouché;débouch
débouchés;débouch
débourser;débours
débute;début
débuts;début
débuté;début
décalage;décalag
déceler;décel
décembre;décembr
décennie;décen
décennies;décen
déception;décept
décevants;décev
décharge;décharg
déchets;déchet
décide;décid
décider;décid
décideurs;décideur
décidé;décid
décidée;décid
décidément;décid
décision;décis
décisions;décis
déclaration;déclar
déclarations;déclar
déclare;déclar
déclarer;déclar
déclaré;déclar
déclarés;déclar
déclenche;déclench
décline;déclin
décoratifs;décor
décoration;décor
décors;décor
décote;décot
découle;découl
découpe;découp
découverte;découvert
découvertes;découvert
découvre;découvr
découvrir;découvr
décrire;décrir
décrit;decr
décroche;décroch
décrocher;décroch
décroché;décroch
décédé;déced
dédié;dédi
déductibles;déductibl
déduction;déduct
