abajo;abaj
actúa;actu
actúas;actu
acuario;acuari
acudir;acud
acuerda;acuerd
acuerdas;acuerd
acuerdo;acuerd
acusa;acus
acusaciones;acus
acusación;acus
acusado;acus
acusados;acus
acusar;acus
acuérdate;acuerdat
acuéstate;acuestat
acá;aca
acércate;acercat
acérquense;acerquens
adecuada;adecu
adecuado;adecu
adelantado;adelant
adelante;adel
ademas;adem
además;ademas
adentro;adentr
adicción;adiccion
adicto;adict
adictos;adict
adios;adi
adivina;adivin
adivinar;adivin
adiós;adios
adjunto;adjunt
administración;administr
administrador;administr
admirable;admir
admirador;admir
admiro;admir
admite;admit
admitir;admit
admitirlo;admit
admito;admit
adolescente;adolescent
adolescentes;adolescent
adonde;adond
adopción;adopcion
adora;ador
adoraba;ador
adorable;ador
adoran;ador
adoro;ador
adrenalina;adrenalin
aduana;aduan
adulto;adult
adultos;adult
advertencia;advertent
advertí;advert
advierto;adviert
adónde;adond
aeropuerto;aeropuert
aeropuertos;aeropuert
afecta;afect
afectado;afect
afectar;afect
afecto;afect
afectó;afect
afganistán;afganistan
aficionado;aficion
aficionados;aficion
afirmativo;afirm
afortunada;afortun
afortunadamente;afortun
afortunado;afortun
afortunados;afortun
africa;afric
afuera;afuer
afueras;afuer
agallas;agall
agarra;agarr
agarrado;agarr
agarramos;agarr
agarrar;agarr
agarraron;agarr
agarre;agarr
agarren;agarr
agarro;agarr
agarré;agarr
agarró;agarr
agencia;agenci
agenda;agend
agente;agent
agentes;agent
agosto;agost
agotado;agot
agrada;agrad
agradable;agrad
agradables;agrad
agradan;agrad
agradas;agrad
agradece;agradec
agradecemos;agradec
agradecer;agradec
agradecerle;agradec
agradecerte;agradecert
agradecería;agradec
agradecida;agradec
agradecido;agradec
agradecidos;agradec
agradecimiento;agradec
agradezco;agradezc
agrado;agrad
agresivo;agres
agresión;agresion
agua;agu
aguanta;aguant
aguantar;aguant
aguante;aguant
aguanto;aguant
aguarda;aguard
aguas;agu
aguja;aguj
agujas;aguj
agujero;agujer
agujeros;agujer
agáchate;agachat
agárralo;agarral
agárrate;agarrat
agárrense;agarrens
ahogado;ahog
ahogó;ahog
ahora;ahor
ahorrar;ahorr
ahorros;ahorr
ahí;ahi
aire;air
aires;air
aislado;aisl
aislamiento;aislamient
ajustar;ajust
ajá;aja
alabado;alab
alambre;alambr
alarma;alarm
alaska;alask
albania;albani
alboroto;alborot
alcaide;alcaid
alcalde;alcald
alcance;alcanc
alcanza;alcanz
alcanzado;alcanz
alcanzar;alcanz
alcanzo;alcanz
aldea;alde
alecto;alect
alegra;alegr
alegre;alegr
alegro;alegr
alegría;alegr
aleja;alej
alejada;alej
alejado;alej
alejarme;alej
alejarse;alej
alejate;alejat
aleluya;alelu
alemana;aleman
alemanes;aleman
alemania;alemani
alemán;aleman
alerta;alert
alfombra;alfombr
algodón;algodon
alguien;algui
alguién;alguien
alguna;algun
algunas;algun
alguno;algun
algunos;algun
algún;algun
aliado;ali
aliados;ali
alianza;alianz
alias;ali
aliento;alient
alienígena;alienigen
alienígenas;alienigen
alimenta;aliment
alimentar;aliment
alimento;aliment
alimentos;aliment
alivio;alivi
allá;alla
allí;alli
almacén;almacen
almirante;almir
almohada;almoh
almorzar;almorz
almuerzo;almuerz
alquilar;alquil
alquiler;alquil
alrededores;alrededor
altamente;alt
alterado;alter
alternativa;altern
alteza;altez
altura;altur
alturas;altur
alucinaciones;alucin
alumna;alumn
alumno;alumn
alumnos;alumn
alá;ala
aléjate;alejat
aléjense;alejens
aléjese;alejes
alérgico;alerg
amaba;amab
amabas;amab
amabilidad;amabil
amable;amabl
amables;amabl
amada;amad
amado;amad
amamos;amam
amanecer;amanec
amante;amant
amantes;amant
amarilla;amarill
amarillo;amarill
amaré;amar
amazonas;amazon
ambición;ambicion
ambiente;ambient
ambulancia;ambul
amenaza;amenaz
amenazado;amenaz
amenazando;amenaz
amenazas;amenaz
amenazó;amenaz
america;amer
americana;american
americanas;american
americano;american
americanos;american
ametralladora;ametrall
amiga;amig
amigable;amig
amigas;amig
amigo;amig
amigos;amig
amiguito;amiguit
amistad;amist
amistoso;amist
amnesia;amnesi
amorcito;amorcit
amuleto;amulet
amé;ame
amén;amen
américa;amer
analizar;analiz
analítica;analit
ancestros;ancestr
anciana;ancian
anciano;ancian
ancianos;ancian
andaba;andab
andando;andand
androide;android
anfitrión;anfitrion
anillo;anill
anillos;anill
animales;animal
aniversario;aniversari
anoche;anoch
anochecer;anochec
anota;anot
ansiedad;ansied
ansioso;ansios
antecedentes;antecedent
antena;anten
anteojos;anteoj
antepasados;antepas
anteriores;anterior
anteriormente;anterior
antibióticos;antibiot
antigua;antigu
antiguas;antigu
antiguo;antigu
antiguos;antigu
antorcha;antorch
antídoto;antidot
anular;anul
anunciar;anunci
anuncio;anunci
anuncios;anunci
análisis;analisis
anímate;animat
apaga;apag
apagado;apag
apagar;apag
apague;apag
apaguen;apag
aparato;aparat
aparatos;aparat
aparece;aparec
aparecen;aparec
aparecer;aparec
aparecerá;aparec
apareces;aparec
aparecido;aparec
aparecieron;aparec
apareció;aparec
aparentemente;aparent
aparezca;aparezc
aparición;aparicion
apariencia;aparient
aparta;apart
apartamento;apartament
aparte;apart
apellido;apell
apenas;apen
apertura;apertur
apesta;apest
apestoso;apest
apetece;apetec
apetito;apetit
aplauso;aplaus
apodo;apod
apostar;apost
apoya;apoy
apoyado;apoy
apoyar;apoy
apoyo;apoy
apreciar;apreci
aprecio;apreci
aprende;aprend
aprender;aprend
aprenderás;aprend
aprendes;aprend
aprendido;aprend
aprendiendo;aprend
aprendiste;aprend
aprendió;aprend
aprendí;aprend
apresúrate;apresurat
apretado;apret
apretar;apret
aprieta;apriet
aprisa;apris
aprobación;aprob
aprobar;aprob
apropiada;apropi
apropiado;apropi
aprovechar;aprovech
aproxima;aproxim
aproximadamente;aproxim
apuesta;apuest
apuestas;apuest
apuesto;apuest
apunta;apunt
apuntando;apunt
apuntar;apunt
apunten;apunt
apuntes;apunt
apunto;apunt
apurado;apur
apurate;apurat
apuro;apur
apuros;apur
apágala;apagal
apágalo;apagal
apártate;apartat
apártense;apartens
apártese;apartes
apúrate;apurat
apúrense;apurens
apúrese;apures
aquella;aquell
aquellas;aquell
aquello;aquell
aquellos;aquell
aquél;aquel
aquí;aqu
arabia;arabi
araña;arañ
arañas;arañ
arbusto;arbust
arbustos;arbust
archivo;archiv
archivos;archiv
ardiendo;ardiend
ardiente;ardient
ardilla;ardill
area;are
arena;aren
argentina;argentin
argumento;argument
armada;armad
armadas;armad
armado;armad
armados;armad
armadura;armadur
armamento;armament
armario;armari
armonía;armon
aroma;arom
arqueros;arquer
arquitecto;arquitect
arranca;arranc
arrancar;arranc
arrecife;arrecif
arregla;arregl
arreglado;arregl
arreglamos;arregl
arreglando;arregl
arreglar;arregl
arreglaremos;arregl
arreglarlo;arregl
arreglaré;arregl
arregle;arregl
arreglo;arregl
arreglos;arregl
arreglé;arregl
arregló;arregl
arrepentirás;arrepent
arrepiento;arrepient
arrestado;arrest
arrestados;arrest
arrestar;arrest
arrestaron;arrest
arresten;arrest
arresto;arrest
arriba;arrib
arriesgado;arriesg
arriesgando;arriesg
arriesgar;arriesg
arriesgarme;arriesg
arriesgarnos;arriesg
arrodíllate;arrodillat
arrogante;arrog
arroja;arroj
arrojó;arroj
arruinado;arruin
arruinando;arruin
arruinar;arruin
arruinaste;arruin
arruine;arruin
arruiné;arruin
arruinó;arruin
artefacto;artefact
arteria;arteri
artificiales;artificial
artillería;artill
artista;artist
artistas;artist
artículo;articul
artículos;articul
arzobispo;arzobisp
asado;asad
asalto;asalt
ascenso;ascens
asegura;asegur
asegurado;asegur
asegurar;asegur
asegurarme;asegur
asegurarnos;asegur
asegurarse;asegur
aseguraré;asegur
aseguro;asegur
asegúrate;asegurat
asegúrese;asegures
asesina;asesin
asesinada;asesin
asesinado;asesin
asesinados;asesin
asesinar;asesin
asesinaron;asesin
asesinaste;asesin
asesinato;asesinat
asesinatos;asesinat
asesino;asesin
asesinos;asesin
asesinó;asesin
asia;asi
asiento;asient
asientos;asient
asignado;asign
asilo;asil
asistencia;asistent
asistente;asistent
asistir;asist
asociación;asoci
asombrosa;asombr
asombroso;asombr
aspecto;aspect
aspectos;aspect
aspirina;aspirin
asquerosa;asquer
asqueroso;asquer
astronauta;astronaut
astuto;astut
asumir;asum
asumo;asum
asunto;asunt
asuntos;asunt
asusta;asust
asustada;asust
asustado;asust
asustados;asust
asustan;asust
asustando;asust
asustar;asust
asustarme;asust
asustarte;asustart
asustas;asust
asustaste;asust
asuste;asust
asustes;asust
asusté;asust
asustó;asust
así;asi
ataca;atac
atacado;atac
atacan;atac
atacando;atac
atacar;atac
atacaremos;atac
atacaron;atac
atacó;atac
atada;atad
atado;atad
atajo;ataj
ataque;ataqu
ataquen;ataqu
ataques;ataqu
atardecer;atardec
atascado;atasc
ataúd;ataud
atención;atencion
atender;atend
atentamente;atent
atento;atent
atentos;atent
aterrador;aterr
aterrizaje;aterrizaj
aterrizar;aterriz
atiende;atiend
atlántico;atlant
atmósfera;atmosfer
atracción;atraccion
atraco;atrac
atractiva;atract
atractivo;atract
atrae;atra
atraer;atra
atrapa;atrap
atrapada;atrap
atrapado;atrap
atrapados;atrap
atrapamos;atrap
atrapan;atrap
atrapar;atrap
atraparemos;atrap
atraparlo;atrap
atraparon;atrap
atrape;atrap
atrapen;atrap
atrapé;atrap
atrapó;atrap
atrasado;atras
atravesando;atraves
atravesar;atraves
atravesó;atraves
atraviesa;atravies
atrevas;atrev
atreve;atrev
atreves;atrev
atrevido;atrev
atrás;atras
atún;atun
audición;audicion
audiencia;audienci
aula;aul
aumenta;aument
aumentar;aument
aumento;aument
aunque;aunqu
ausencia;ausenci
ausente;ausent
australia;australi
auto;aut
autobús;autobus
autodestrucción;autodestruccion
automática;automat
automático;automat
automóvil;automovil
autopista;autop
autopsia;autopsi
autoridad;autor
autoridades;autor
autorización;autoriz
autorizada;autoriz
autorizado;autoriz
autos;aut
auténtica;autent
auténtico;autent
autógrafo;autograf
auxiliar;auxili
auxilio;auxili
avance;avanc
avancen;avanc
avanza;avanz
avanzada;avanz
avanzado;avanz
avanzando;avanz
avanzar;avanz
avaricia;avarici
avenida;aven
aventura;aventur
aventuras;aventur
aventón;aventon
avergonzada;avergonz
avergonzado;avergonz
averigua;averigu
averiguar;averigu
averiguarlo;averigu
averiguaré;averigu
aviones;avion
avisa;avis
avisado;avis
avisar;avis
avisarle;avis
avisaré;avis
avise;avis
aviso;avis
avión;avion
avísame;avisam
ayuda;ayud
ayudado;ayud
ayudame;ayudam
ayudan;ayud
ayudando;ayud
ayudante;ayud
ayudantes;ayud
ayudar;ayud
ayudara;ayud
ayudaremos;ayud
ayudarla;ayud
ayudarle;ayud
ayudarles;ayud
ayudarlo;ayud
ayudarlos;ayud
ayudarme;ayud
ayudarnos;ayud
ayudarte;ayudart
ayudará;ayud
ayudarán;ayud
ayudarás;ayud
ayudaré;ayud
ayudaría;ayud
ayudas;ayud
ayudaste;ayud
ayude;ayud
ayuden;ayud
ayudes;ayud
ayudo;ayud
ayudé;ayud
ayudó;ayud
ayuntamiento;ayunt
ayúdame;ayudam
ayúdanos;ayudan
ayúdeme;ayudem
ayúdenme;ayudenm
ayúdenos;ayuden
azafata;azafat
azules;azul
azúcar;azuc
aérea;aere
aéreas;aer
aéreo;aere
añadir;añad
aún;aun
babilonia;babiloni
bahía;bah
baila;bail
bailamos;bail
bailando;bail
bailar;bail
bailarina;bailarin
bailarín;bailarin
bailas;bail
baile;bail
bailes;bail
bailo;bail
baja;baj
bajado;baj
bajamos;baj
bajan;baj
bajando;baj
bajar;baj
bajaré;baj
bajas;baj
baje;baj
bajen;baj
bajes;baj
bajo;baj
bajos;baj
bajé;baj
bajó;baj
bala;bal
balance;balanc
balas;bal
balazo;balaz
balboa;balbo
balcón;balcon
ballena;ballen
ballenas;ballen
baloncesto;baloncest
balsa;bals
balón;balon
banana;banan
banco;banc
bancos;banc
banda;band
bandas;band
bandeja;bandej
bandera;bander
bandido;band
bandidos;band
bando;band
banquero;banquer
banquete;banquet
barata;barat
barato;barat
baratos;barat
barba;barb
barbara;barb
barco;barc
barcos;barc
bares;bar
barra;barr
barras;barr
barrera;barrer
barriga;barrig
barrio;barri
barro;barr
barón;baron
basa;bas
basada;bas
basado;bas
base;bas
bases;bas
basta;bast
bastante;bastant
bastantes;bastant
bastardo;bastard
bastardos;bastard
bastón;baston
basura;basur
basurero;basurer
bata;bat
batalla;batall
batallas;batall
batallón;batallon
bate;bat
batería;bat
baterías;bat
bañera;bañer
baño;bañ
baños;bañ
baúl;baul
beba;beb
bebe;beb
beber;beb
bebes;beb
bebida;beb
bebidas;beb
bebido;beb
bebiendo;beb
bebo;beb
bebé;beb
bebés;bebes
beca;bec
bella;bell
bellas;bell
belleza;bellez
bello;bell
bendición;bendicion
bendiga;bendig
bendita;bendit
bendito;bendit
beneficio;benefici
beneficios;benefici
berlín;berlin
besa;bes
besando;bes
besar;bes
besarme;bes
besarte;besart
beso;bes
besos;bes
bestia;besti
bestias;besti
besó;bes
biblia;bibli
biblioteca;bibliotec
bicho;bich
bichos;bich
bicicleta;biciclet
bienes;bien
bienestar;bienest
bienvenida;bienven
bienvenido;bienven
bienvenidos;bienven
bigote;bigot
billar;bill
billete;billet
billetera;billeter
billetes;billet
billones;billon
bingo;bing
bién;bien
blanca;blanc
blancas;blanc
blanco;blanc
blancos;blanc
bledo;bled
bloque;bloqu
bloqueado;bloqu
bloqueando;bloqu
bloqueo;bloque
blues;blu
bobo;bob
boca;boc
bocadillo;bocadill
boda;bod
bodas;bod
bodega;bodeg
bola;bol
bolas;bol
boleto;bolet
boletos;bolet
bolos;bol
bolsa;bols
bolsas;bols
bolsillo;bolsill
bolsillos;bolsill
bolso;bols
bolsón;bolson
bolígrafo;boligraf
bomba;bomb
bombardeo;bombarde
bombarderos;bombarder
bombas;bomb
bomberos;bomber
bondad;bond
bonita;bonit
bonitas;bonit
bonito;bonit
bonitos;bonit
bonos;bon
borde;bord
bordo;bord
borracha;borrach
borracho;borrach
borrachos;borrach
borrado;borr
borrar;borr
bosque;bosqu
bosques;bosqu
botas;bot
bote;bot
botella;botell
botellas;botell
botes;bot
botones;boton
botín;botin
botón;boton
boxeo;boxe
bragas;brag
bravo;brav
brazalete;brazalet
brazo;braz
brazos;braz
brecha;brech
bree;bre
bretaña;bretañ
breve;brev
brigada;brig
brilla;brill
brillante;brillant
brillantes;brillant
brillo;brill
brindar;brind
brindemos;brind
brindo;brind
brisa;bris
británica;britan
británico;britan
británicos;britan
broma;brom
bromas;brom
bromea;brome
bromeaba;brom
bromeando;brom
bromear;brom
bromeas;brom
bromeo;brome
bruja;bruj
brujas;bruj
bruto;brut
buena;buen
buenas;buen
bueno;buen
buenos;buen
buenísimo;buenisim
buque;buqu
burbujas;burbuj
burla;burl
burlando;burl
burro;burr
busca;busc
buscaba;busc
buscabas;busc
buscado;busc
buscamos;busc
buscan;busc
buscando;busc
buscar;busc
buscaremos;busc
buscarla;busc
buscarlo;busc
buscarlos;busc
buscarme;busc
buscarte;buscart
buscaré;busc
buscas;busc
buscaste;busc
busco;busc
buscó;busc
busque;busqu
busquemos;busqu
busquen;busqu
busques;busqu
busqué;busqu
buzón;buzon
bájala;bajal
bájame;bajam
bájate;bajat
bárbara;barb
bárbaro;barbar
básicamente;basic
básico;basic
béisbol;beisbol
bésame;besam
bóveda;boved
búsqueda;busqued
caballero;caballer
caballeros;caballer
caballería;caball
caballo;caball
caballos;caball
cabaña;cabañ
cabe;cab
cabello;cabell
cabeza;cabez
cabezas;cabez
cabina;cabin
cable;cabl
cables;cabl
cabo;cab
cabra;cabr
cabras;cabr
cabrones;cabron
cabrón;cabron
caca;cac
cacería;cac
cachorro;cachorr
cada;cad
cadena;caden
cadenas;caden
cadera;cader
caderas;cader
cadáver;cadav
cadáveres;cadaver
caerá;caer
cafe;caf
cafetería;cafet
café;caf
cagar;cag
cago;cag
caiga;caig
caigo;caig
caja;caj
cajas;caj
cajero;cajer
cajón;cajon
calabozo;calaboz
calcetines;calcetin
calefacción;calefaccion
calendario;calendari
calentamiento;calent
calibre;calibr
calidad;calid
caliente;calient
calientes;calient
caligrafía;caligraf
calla;call
callada;call
callado;call
callar;call
callarte;callart
callas;call
callate;callat
calle;call
callejón;callejon
calles;call
calma;calm
calmado;calm
calmate;calmat
calme;calm
calorías;calor
calvo;calv
calzoncillos;calzoncill
calzones;calzon
cama;cam
camara;cam
camarada;camar
camaradas;camar
camarera;camarer
camarero;camarer
camarones;camaron
camas;cam
cambia;cambi
cambiado;cambi
cambiamos;cambi
cambian;cambi
cambiando;cambi
cambiar;cambi
cambiarlo;cambi
cambiarme;cambi
cambiaron;cambi
cambiará;cambi
cambiaría;cambi
cambias;cambi
cambiaste;cambi
cambie;cambi
cambies;cambi
cambio;cambi
cambios;cambi
cambié;cambi
cambió;camb
camello;camell
camilla;camill
camina;camin
caminaba;camin
caminando;camin
caminar;camin
caminas;camin
camine;camin
camino;camin
caminos;camin
camiones;camion
camioneta;camionet
camisa;camis
camisas;camis
camiseta;camiset
camisetas;camiset
camión;camion
campamento;campament
campana;campan
campanas;campan
campaña;campañ
campeonato;campeonat
campeones;campeon
campesinos;campesin
campeón;campeon
campo;camp
campos;camp
canadá;canad
canales;canal
canalla;canall
canasta;canast
cancela;cancel
cancelado;cancel
cancelar;cancel
cancha;canch
canciller;cancill
canciones;cancion
canción;cancion
candidato;candidat
candidatos;candidat
cangrejo;cangrej
cansada;cans
cansado;cans
cansados;cans
cansé;cans
canta;cant
cantando;cant
cantante;cantant
cantar;cant
cantidad;cantid
cantidades;cantidad
cantina;cantin
canto;cant
capa;cap
capaces;capac
capacidad;capac
capas;cap
capilla;capill
capitan;capit
capitana;capitan
capitán;capitan
captura;captur
capturado;captur
capturar;captur
capullo;capull
capítulo;capitul
cara;car
características;caracterist
carajo;caraj
carajos;caraj
caramba;caramb
caramelo;caramel
caramelos;caramel
caras;car
caravana;caravan
carbón;carbon
cardíaco;cardiac
carga;carg
cargada;carg
cargado;carg
cargamento;cargament
cargando;carg
cargar;carg
cargas;carg
cargo;carg
cargos;carg
carguen;carg
caridad;carid
cariño;cariñ
carmen;carm
carnada;carn
carne;carn
carnicero;carnicer
caro;car
carolina;carolin
caros;car
carpintero;carpinter
carrera;carrer
carreras;carrer
carreta;carret
carretera;carreter
carreteras;carreter
carro;carr
carros;carr
carruaje;carruaj
carta;cart
cartas;cart
carteles;cartel
cartera;carter
cartero;carter
cartuchos;cartuch
carácter;caract
casa;cas
casada;cas
casado;cas
casados;cas
casamiento;casamient
casamos;cas
casar;cas
casarme;cas
casarnos;cas
casarse;cas
casarte;casart
casaré;cas
casas;cas
casaste;cas
casco;casc
cascos;casc
case;cas
casero;caser
casillero;casiller
casino;casin
caso;cas
casos;cas
castigado;castig
castigo;castig
castillo;castill
castro;castr
casualidad;casual
casé;cas
casó;cas
categoría;categor
catorce;catorc
catéter;catet
católica;catol
católico;catol
causa;caus
causado;caus
causando;caus
causar;caus
causas;caus
causó;caus
cavar;cav
caviar;cavi
cayendo;cayend
cayo;cay
cayó;cay
caza;caz
cazadores;cazador
cazando;caz
cazar;caz
cazas;caz
caí;cai
caía;cai
caída;caid
caído;caid
caíste;caist
cañones;cañon
cañón;cañon
cebolla;ceboll
celda;celd
celdas;celd
celebración;celebr
celebrando;celebr
celebrar;celebr
celos;cel
celosa;celos
celoso;celos
celular;celul
celulares;celular
cementerio;cementeri
cena;cen
cenar;cen
cenicienta;cenicient
cenizas;ceniz
centavo;centav
centavos;centav
centro;centr
centros;centr
centímetros;centimetr
cepillo;cepill
cera;cer
cerca;cerc
cercana;cercan
cercano;cercan
cercanos;cercan
cerdo;cerd
cerdos;cerd
cerebrales;cerebral
cerebro;cerebr
cerebros;cerebr
ceremonia;ceremoni
cero;cer
cerrada;cerr
cerradas;cerr
cerrado;cerr
cerrados;cerr
cerradura;cerradur
cerramos;cerr
cerrando;cerr
cerrar;cerr
cerré;cerr
cerró;cerr
certeza;certez
certificado;certific
cerveza;cervez
cervezas;cervez
cesar;ces
chaleco;chalec
champagne;champagn
champaña;champañ
champán;champan
chance;chanc
chantaje;chantaj
chao;cha
chaqueta;chaquet
charla;charl
charlar;charl
chatarra;chatarr
cheque;chequ
cheques;chequ
chester;chest
chica;chic
chicas;chic
chicle;chicl
chico;chic
chicos;chic
chiflado;chifl
chimenea;chimene
china;chin
chino;chin
chinos;chin
chispas;chisp
chiste;chist
chistes;chist
chistoso;chistos
choca;choc
chocolate;chocolat
chocolates;chocolat
chocó;choc
chofer;chof
choque;choqu
chupa;chup
cicatrices;cicatric
ciclo;cicl
ciega;cieg
ciegas;cieg
ciego;cieg
ciegos;cieg
cielo;ciel
cielos;ciel
ciencia;cienci
ciencias;cienci
ciento;cient
cientos;cient
científica;cientif
científico;cientif
científicos;cientif
cierra;cierr
cierran;cierr
cierre;cierr
cierren;cierr
cierres;cierr
cierta;ciert
ciertamente;ciert
ciertas;ciert
cierto;ciert
ciertos;ciert
cifra;cifr
cifras;cifr
cigarrillo;cigarrill
cigarrillos;cigarrill
cigarro;cigarr
cigarros;cigarr
cima;cim
cinco;cinc
cincuenta;cincuent
cine;cin
cinta;cint
cintas;cint
cinturones;cinturon
cinturón;cinturon
circo;circ
circuito;circuit
circuitos;circuit
circulación;circul
circunstancias;circunst
cirugía;cirug
cirujano;cirujan
cirujanos;cirujan
cita;cit
citas;cit
ciudad;ciud
ciudadano;ciudadan
ciudadanos;ciudadan
ciudades;ciudad
civiles;civil
civilización;civiliz
civilizado;civiliz
clara;clar
claramente;clar
claras;clar
claridad;clarid
claro;clar
claros;clar
clase;clas
clases;clas
claudia;claudi
clave;clav
claves;clav
clavo;clav
clemencia;clemenci
clementina;clementin
cliente;client
clientes;client
clima;clim
clásica;clasic
clásico;clasic
clérigo;clerig
clínica;clinic
coalición;coalicion
coartada;coart
cobarde;cobard
cobardes;cobard
cobertura;cobertur
cobra;cobr
cobrar;cobr
cobre;cobr
cobro;cobr
coca;coc
cocaína;cocain
coche;coch
coches;coch
cocina;cocin
cocinar;cocin
cocinera;cociner
cocinero;cociner
coco;coc
codigo;codig
codo;cod
cofre;cofr
coge;cog
coger;cog
cogeré;cog
coges;cog
cogido;cog
cogiendo;cog
cogió;cog
cogí;cog
cohete;cohet
cohetes;cohet
coincide;coincid
coincidencia;coincident
coja;coj
cojo;coj
cojones;cojon
cola;col
colapso;colaps
colchón;colchon
cole;col
colección;coleccion
colega;coleg
colegas;coleg
colegio;colegi
colgado;colg
colgando;colg
colgar;colg
colina;colin
colinas;colin
collar;coll
coloca;coloc
colocar;coloc
colombia;colombi
colonia;coloni
colonias;coloni
colorado;color
colores;color
columbia;columbi
columna;column
coma;com
comamos;com
coman;com
comandante;comand
comando;com
comarca;comarc
comas;com
combate;combat
combatir;combat
combinación;combin
combustible;combust
come;com
comedia;comedi
comemos;com
comen;com
comencemos;comenc
comencé;comenc
comentario;comentari
comentarios;comentari
comenzado;comenz
comenzamos;comenz
comenzando;comenz
comenzar;comenz
comenzaremos;comenz
comenzaron;comenz
comenzará;comenz
comenzó;comenz
comer;com
comerciales;comercial
comercio;comerci
comeremos;com
comeré;com
comes;com
cometa;comet
comete;comet
cometer;comet
cometido;comet
cometiendo;comet
cometiste;comet
cometió;comet
cometí;comet
comida;com
comidas;com
comido;com
comience;comienc
comiencen;comienc
comiendo;com
comienza;comienz
comienzan;comienz
comienzas;comienz
comienzo;comienz
comieron;com
comisario;comisari
comisaría;comis
comisionado;comision
comisión;comision
comiste;com
comité;comit
comió;com
como;com
comparado;compar
comparar;compar
compartimos;compart
compartir;compart
compasión;compasion
compañera;compañer
compañero;compañer
compañeros;compañer
compañia;compañi
compañía;compañ
compañías;compañ
competencia;competent
competir;compet
complace;complac
complejo;complej
completa;complet
completamente;complet
completar;complet
completo;complet
complicaciones;complic
complicada;complic
complicado;complic
comportamiento;comport
compra;compr
comprado;compr
compramos;compr
compran;compr
comprando;compr
comprar;compr
comprarle;compr
comprarme;compr
compraron;compr
comprarte;comprart
compraré;compr
compras;compr
compraste;compr
compre;compr
comprende;comprend
comprender;comprend
comprendes;comprend
comprendido;comprend
comprendo;comprend
comprensión;comprension
compro;compr
comprobado;comprob
comprobar;comprob
comprometida;compromet
comprometido;compromet
compromiso;compromis
comprueba;comprueb
compré;compr
compró;compr
computadora;comput
computadoras;comput
compórtate;comportat
comunes;comun
comunicaciones;comun
comunicación;comun
comunicado;comunic
comunicarse;comunic
comunidad;comun
comunista;comun
comunistas;comun
comí;com
común;comun
concedido;conced
concentración;concentr
concentrado;concentr
concentrarme;concentr
concepto;concept
conciencia;concienci
concierne;conciern
concierto;conciert
conclusiones;conclusion
conclusión;conclusion
concreto;concret
concurso;concurs
concéntrate;concentrat
condado;cond
conde;cond
condena;conden
condenada;conden
condenado;conden
condenados;conden
condesa;condes
condiciones;condicion
condición;condicion
conduce;conduc
conduciendo;conduc
conducir;conduc
conducta;conduct
conducto;conduct
conducía;conduc
conduzco;conduzc
conecta;conect
conectado;conect
conectados;conect
conectar;conect
conejo;conej
conejos;conej
conexiones;conexion
conexión;conexion
conferencia;conferent
conferencias;conferent
confesar;confes
confesión;confesion
confiaba;confi
confiable;confiabl
confiado;confi
confiamos;confi
confianza;confianz
confiar;confi
confirma;confirm
confirmación;confirm
confirmada;confirm
confirmado;confirm
confirmar;confirm
confié;confi
